InputZoom	TRUE
InputCenter	1000000000.000000000
InputRange	2.000000000
InputRefImped	50.000000000
XStart	0.000000000
XDelta	0.000000160
XDomain	0
XUnit	Sec
YUnit	V
FreqValidMax	1020000000.000000000
FreqValidMin	980000000.000000000
TimeString	Wed Apr 9 10:31:26.524 2014
Y
0.001758	0.004571
0.000703	-0.001758
-0.004922	-0.010899
-0.001406	-0.000352
-0.003867	0.003867
0.001406	-0.004922
0.000352	-0.003867
0.002813	-0.003516
0.008438	0.008438
0.009493	0.014766
-0.001406	0.002461
-0.006328	0.006328
-0.004219	-0.010547
0.014766	0.003867
-0.002813	0.006328
0.002813	-0.000352
0.004219	0.003164
-0.006328	0
-0.002109	0.007032
-0.000352	0.010547
0.005625	0.000352
-0.010196	0.001055
0	-0.001758
0.000352	0.005977
-0.004219	-0.001758
0.000352	-0.006328
-0.008086	0.002109
0.000352	-0.003867
0.010899	0.004922
-0.000352	0.005274
0.004219	-0.002461
0.005625	-0.002461
-0.002109	0
0.007383	-0.000352
0.003867	0.004219
-0.007032	-0.003867
0.003516	0.002813
-0.002461	0.01125
0.000703	-0.003516
0.000352	0.005977
-0.003516	0.003164
0.002109	-0.000352
0.002109	-0.003867
0.008789	-0.003164
0.005274	-0.000352
0.001406	-0.000703
0.003164	-0.000703
-0.003164	0.004922
0.001055	0.009141
-0.003516	-0.004922
0.007032	0.001758
0.001758	0
-0.00668	-0.005625
0.001055	-0.004571
-0.004219	-0.000352
-0.010899	0.006328
-0.002109	0.003164
-0.003867	0.005274
-0.003867	0.004922
0.003516	0.002461
0.007383	0.001406
-0.003516	-0.003164
-0.004219	-0.009493
-0.003516	-0.008789
0.004571	-0.009493
-0.008086	-0.004922
-0.001758	-0.005625
0.004571	0.00668
0.007383	-0.004922
-0.000352	-0.008438
-0.002109	0.007383
-0.008086	-0.003164
0.000352	-0.003516
0.008086	0.009844
-0.005625	0.007735
-0.001406	-0.001055
-0.008086	0.002109
-0.003516	0.007735
-0.002461	-0.003164
-0.001055	0.010899
-0.005625	0.004922
-0.014766	-0.001055
-0.01125	0.009493
-0.01125	0.003516
-0.01793	0.001758
-0.015821	0.001406
-0.01125	0.020743
-0.00668	0.011954
-0.018634	0.015469
-0.013008	0.010547
-0.013008	0.017227
-0.011602	0.012305
-0.019337	0.010196
-0.013712	0.019337
-0.01793	0.011954
-0.02461	0.01793
-0.016173	0.01336
-0.016173	0.016876
-0.013008	0.01793
-0.020392	0.019688
-0.015469	0.017579
-0.030236	0.016524
-0.022149	0.02672
-0.020392	0.020743
-0.021798	0.016524
-0.03129	0.014766
-0.025665	0.024962
-0.028829	0.022501
-0.027775	0.020392
-0.020743	0.01793
-0.022853	0.023556
-0.032697	0.020743
-0.033048	0.018634
-0.034806	0.022501
-0.030587	0.035861
-0.028829	0.019688
-0.035158	0.035861
-0.0334	0.038322
-0.035158	0.026017
-0.02004	0.033751
-0.03797	0.028126
-0.031642	0.024259
-0.0334	0.027423
-0.03129	0.033751
-0.032697	0.032697
-0.039025	0.030939
-0.029884	0.039377
-0.036916	0.036213
-0.036564	0.035158
-0.039025	0.027071
-0.039377	0.04008
-0.042892	0.047463
-0.039377	0.023204
-0.041838	0.029533
-0.039025	0.036564
-0.040431	0.039025
-0.045705	0.036213
-0.037619	0.027071
-0.049221	0.037267
-0.04465	0.04676
-0.042541	0.038322
-0.040431	0.036916
-0.03797	0.037619
-0.044299	0.039377
-0.034806	0.039377
-0.043244	0.04465
-0.049572	0.045705
-0.062229	0.045002
-0.062581	0.042541
-0.052034	0.052385
-0.054846	0.045705
-0.039728	0.049572
-0.049221	0.043596
-0.055549	0.048166
-0.048518	0.05133
-0.04676	0.05133
-0.053088	0.063636
-0.06469	0.057659
-0.048518	0.047815
-0.06012	0.052385
-0.063284	0.04465
-0.056604	0.05344
-0.059065	0.056604
-0.062229	0.059065
-0.057307	0.060471
-0.062932	0.056252
-0.06012	0.057659
-0.059065	0.061878
-0.061878	0.052385
-0.05344	0.060823
-0.061526	0.055198
-0.056956	0.061878
-0.063284	0.067151
-0.056252	0.063987
-0.061175	0.064339
-0.069964	0.064339
-0.066448	0.061175
-0.07137	0.056252
-0.069612	0.06469
-0.07348	0.061175
-0.074534	0.063987
-0.069612	0.07348
-0.065745	0.067151
-0.07348	0.069261
-0.071722	0.07137
-0.072425	0.068558
-0.067151	0.068206
-0.066097	0.07805
-0.076292	0.062581
-0.070316	0.064339
-0.079457	0.078753
-0.074534	0.075589
-0.082621	0.073831
-0.085082	0.078402
-0.082621	0.080511
-0.075941	0.07805
-0.081918	0.076996
-0.079457	0.074534
-0.082972	0.07348
-0.075941	0.072425
-0.083676	0.086137
-0.08016	0.076996
-0.086488	0.076996
-0.088949	0.074183
-0.093168	0.082621
-0.084379	0.085785
-0.085082	0.086137
-0.09809	0.080863
-0.081918	0.090004
-0.088598	0.082621
-0.090004	0.083324
-0.082269	0.092465
-0.095981	0.085433
-0.091762	0.091059
-0.088246	0.082621
-0.089301	0.092817
-0.092113	0.076996
-0.099848	0.094926
-0.090355	0.087543
-0.093871	0.083676
-0.098442	0.083324
-0.096332	0.086488
-0.10055	0.097387
-0.098442	0.089652
-0.09352	0.081214
-0.10583	0.092465
-0.099145	0.094223
-0.11075	0.092465
-0.10372	0.097035
-0.095981	0.091059
-0.10583	0.088949
-0.10231	0.09809
-0.10372	0.088949
-0.095981	0.10442
-0.10372	0.10688
-0.10231	0.095629
-0.10372	0.10477
-0.095981	0.10301
-0.10864	0.10161
-0.10407	0.098793
-0.093871	0.10583
-0.10266	0.10407
-0.11426	0.10829
-0.11215	0.10407
-0.10196	0.095629
-0.11532	0.1009
-0.10723	0.11004
-0.1125	0.10618
-0.11778	0.10793
-0.11356	0.10196
-0.11145	0.10336
-0.1125	0.11848
-0.11426	0.11075
-0.11813	0.10793
-0.10829	0.11848
-0.11813	0.11391
-0.12094	0.1118
-0.11075	0.1118
-0.12094	0.11286
-0.11672	0.11039
-0.11356	0.11848
-0.1118	0.12481
-0.11461	0.11813
-0.11391	0.11391
-0.122	0.12129
-0.11848	0.13008
-0.12165	0.1234
-0.12551	0.11883
-0.1227	0.12903
-0.12411	0.11672
-0.11954	0.11321
-0.11567	0.11954
-0.11848	0.1227
-0.11989	0.13044
-0.11954	0.11743
-0.12938	0.12587
-0.13747	0.12868
-0.13958	0.12376
-0.12516	0.12797
-0.13852	0.12938
-0.13395	0.12903
-0.13852	0.12059
-0.13114	0.13044
-0.13887	0.13325
-0.13079	0.12692
-0.12692	0.12762
-0.13395	0.12973
-0.13641	0.13325
-0.12903	0.13149
-0.1234	0.13395
-0.13255	0.12797
-0.14344	0.1329
-0.13676	0.13184
-0.14063	0.13887
-0.13958	0.14239
-0.13711	0.13219
-0.1445	0.14169
-0.14591	0.14309
-0.14696	0.13536
-0.14028	0.13747
-0.13887	0.14661
-0.13747	0.14309
-0.14063	0.1445
-0.14063	0.14591
-0.14731	0.13747
-0.14098	0.13114
-0.13993	0.15223
-0.14872	0.13782
-0.1452	0.13958
-0.15012	0.14098
-0.14696	0.15364
-0.15048	0.14626
-0.15083	0.14907
-0.14696	0.15329
-0.15329	0.15083
-0.14977	0.15364
-0.15399	0.14485
-0.14766	0.15715
-0.15786	0.14977
-0.14942	0.14837
-0.15048	0.15962
-0.16173	0.15294
-0.16102	0.16173
-0.15891	0.15575
-0.16067	0.15118
-0.14977	0.14977
-0.15891	0.14485
-0.14872	0.1561
-0.16208	0.14872
-0.16384	0.1554
-0.16524	0.16313
-0.1663	0.15751
-0.15786	0.17157
-0.16243	0.1561
-0.15751	0.16137
-0.16911	0.16805
-0.16278	0.16102
-0.16067	0.16876
-0.16876	0.16278
-0.17333	0.16102
-0.16419	0.16419
-0.16841	0.16595
-0.16665	0.16489
-0.16067	0.16243
-0.17438	0.17719
-0.16454	0.16524
-0.1663	0.16419
-0.17016	0.16384
-0.1663	0.16243
-0.17614	0.17333
-0.17052	0.16243
-0.18071	0.17368
-0.17157	0.16981
-0.17368	0.17157
-0.18071	0.16946
-0.17825	0.16876
-0.17684	0.1677
-0.17614	0.17227
-0.18106	0.16735
-0.18282	0.17333
-0.18106	0.17895
-0.17755	0.17509
-0.17895	0.17157
-0.18352	0.18036
-0.18704	0.18634
-0.18845	0.17052
-0.19056	0.18317
-0.18036	0.18704
-0.18563	0.18458
-0.19196	0.17333
-0.18634	0.17298
-0.18915	0.18809
-0.17825	0.18388
-0.18634	0.17438
-0.18774	0.18458
-0.18247	0.18282
-0.19934	0.17684
-0.18177	0.18599
-0.19302	0.19196
-0.19302	0.19372
-0.19231	0.18985
-0.19688	0.18739
-0.19723	0.18563
-0.19091	0.19688
-0.18528	0.19899
-0.18915	0.19407
-0.19372	0.18915
-0.19196	0.20392
-0.19337	0.18845
-0.19688	0.19161
-0.19548	0.19231
-0.19759	0.19759
-0.19267	0.18739
-0.19513	0.20919
-0.1902	0.19407
-0.19583	0.19513
-0.19407	0.20145
-0.19899	0.20251
-0.19477	0.20638
-0.19829	0.19513
-0.20356	0.20497
-0.20603	0.2004
-0.21095	0.20884
-0.20497	0.19548
-0.21587	0.20286
-0.20673	0.20532
-0.20813	0.20708
-0.20567	0.20427
-0.20989	0.20638
-0.20427	0.2004
-0.20638	0.21657
-0.20356	0.20708
-0.20603	0.20954
-0.20708	0.21622
-0.20532	0.20708
-0.21481	0.21446
-0.21095	0.20849
-0.21587	0.20849
-0.20989	0.21341
-0.21341	0.22114
-0.22079	0.21481
-0.20954	0.21587
-0.21622	0.21235
-0.20392	0.20673
-0.21974	0.212
-0.21657	0.21692
-0.22149	0.21939
-0.20884	0.21622
-0.21868	0.21481
-0.22009	0.21481
-0.21622	0.21798
-0.21833	0.21517
-0.22571	0.22853
-0.22817	0.21763
-0.21622	0.22853
-0.22501	0.22009
-0.22642	0.21833
-0.2229	0.22325
-0.22466	0.21974
-0.2331	0.23064
-0.22888	0.22079
-0.22466	0.22395
-0.22677	0.23485
-0.22958	0.21517
-0.22395	0.23064
-0.22993	0.23099
-0.22501	0.22853
-0.23169	0.22712
-0.22712	0.22501
-0.23661	0.22958
-0.23204	0.24435
-0.23099	0.2331
-0.24083	0.22853
-0.2345	0.23732
-0.23696	0.22923
-0.23591	0.23837
-0.23239	0.24013
-0.23485	0.23239
-0.23767	0.23415
-0.23099	0.24716
-0.23275	0.23837
-0.24294	0.23767
-0.23802	0.23591
-0.23942	0.24083
-0.23767	0.24716
-0.23099	0.24575
-0.2331	0.2563
-0.23661	0.24224
-0.24224	0.24294
-0.23591	0.25314
-0.23696	0.24716
-0.2454	0.25349
-0.23204	0.24786
-0.23064	0.24575
-0.24013	0.24189
-0.24646	0.25525
-0.23521	0.24575
-0.24435	0.25103
-0.24399	0.25243
-0.23767	0.24681
-0.2454	0.24857
-0.23345	0.25032
-0.23732	0.26157
-0.23837	0.25946
-0.25032	0.25665
-0.24892	0.25489
-0.25243	0.26825
-0.24786	0.26122
-0.24259	0.25384
-0.24892	0.26122
-0.24399	0.25806
-0.25278	0.27282
-0.24997	0.25208
-0.25771	0.26333
-0.26193	0.2686
-0.25103	0.2665
-0.25243	0.27388
-0.24786	0.26404
-0.25208	0.27423
-0.2556	0.25736
-0.2556	0.27036
-0.25314	0.26263
-0.25173	0.26439
-0.25454	0.27071
-0.25525	0.27458
-0.25771	0.27634
-0.26017	0.27001
-0.26579	0.27282
-0.25103	0.27353
-0.26966	0.27704
-0.25982	0.26509
-0.25806	0.27634
-0.26298	0.27529
-0.26087	0.27353
-0.25946	0.27071
-0.25736	0.28232
-0.26896	0.27986
-0.27071	0.27212
-0.26614	0.27282
-0.26263	0.28372
-0.26966	0.27493
-0.26614	0.27845
-0.26333	0.27212
-0.27634	0.289
-0.26509	0.2897
-0.27071	0.28478
-0.27001	0.27986
-0.27634	0.28443
-0.26439	0.28935
-0.27282	0.27599
-0.2672	0.28864
-0.26298	0.29216
-0.26157	0.29111
-0.27177	0.2897
-0.27282	0.28232
-0.28161	0.28724
-0.27493	0.29251
-0.27775	0.29005
-0.27071	0.28583
-0.27001	0.29779
-0.27142	0.29884
-0.27423	0.27845
-0.27775	0.29744
-0.28126	0.29638
-0.28443	0.29744
-0.27142	0.30447
-0.28829	0.29462
-0.27529	0.29181
-0.28021	0.3006
-0.2788	0.31079
-0.28548	0.30165
-0.27318	0.29286
-0.28126	0.29779
-0.28091	0.29779
-0.28408	0.29814
-0.2795	0.30306
-0.28197	0.30341
-0.28794	0.29849
-0.2897	0.30306
-0.29673	0.30728
-0.28513	0.30904
-0.29251	0.31396
-0.28267	0.31607
-0.28583	0.30763
-0.28759	0.30201
-0.29146	0.30447
-0.28618	0.30517
-0.29005	0.30763
-0.28794	0.30833
-0.29005	0.3115
-0.28583	0.31537
-0.29322	0.31853
-0.2795	0.31396
-0.2897	0.33083
-0.29427	0.3129
-0.289	0.31396
-0.28056	0.31923
-0.29111	0.32662
-0.29603	0.32486
-0.28126	0.32556
-0.2904	0.32416
-0.29779	0.31888
-0.29533	0.31501
-0.29568	0.33294
-0.28337	0.32908
-0.29497	0.31923
-0.30412	0.31361
-0.29497	0.32099
-0.29779	0.3224
-0.29744	0.31994
-0.29954	0.32416
-0.29322	0.32767
-0.29638	0.3224
-0.29673	0.32943
-0.30165	0.32802
-0.29919	0.33083
-0.3013	0.32767
-0.29919	0.32767
-0.3013	0.33048
-0.30447	0.33189
-0.29251	0.33752
-0.31009	0.33013
-0.30447	0.33505
-0.31607	0.33611
-0.30201	0.33189
-0.30517	0.334
-0.3122	0.33259
-0.32134	0.334
-0.30376	0.34384
-0.30412	0.33962
-0.30868	0.34103
-0.29954	0.33716
-0.31853	0.34173
-0.31079	0.34314
-0.30798	0.3333
-0.30904	0.34876
-0.30974	0.33857
-0.30798	0.34208
-0.30868	0.34525
-0.31185	0.33822
-0.30693	0.34068
-0.31642	0.3463
-0.31607	0.34982
-0.32029	0.35369
-0.31115	0.33119
-0.31888	0.35509
-0.31115	0.34033
-0.30904	0.34314
-0.31537	0.35756
-0.32134	0.34806
-0.31009	0.35615
-0.31572	0.36072
-0.32451	0.35685
-0.31501	0.36107
-0.32591	0.35158
-0.3224	0.35123
-0.31185	0.35474
-0.31466	0.36212
-0.31853	0.35896
-0.31501	0.36002
-0.32416	0.37443
-0.32802	0.36388
-0.32064	0.35369
-0.32521	0.3674
-0.31783	0.3667
-0.31537	0.36318
-0.32591	0.36951
-0.32732	0.36986
-0.32169	0.37443
-0.3231	0.36423
-0.32626	0.36951
-0.32451	0.3681
-0.31958	0.36388
-0.32626	0.37443
-0.3231	0.36986
-0.32029	0.36599
-0.32943	0.36459
-0.3347	0.3572
-0.33505	0.37443
-0.33857	0.38463
-0.33927	0.37795
-0.32908	0.37689
-0.33576	0.38287
-0.32521	0.36845
-0.32029	0.37513
-0.32416	0.3776
-0.33013	0.38006
-0.3347	0.38709
-0.33505	0.38533
-0.33435	0.37724
-0.33681	0.37654
-0.32837	0.38814
-0.34033	0.37865
-0.33435	0.3892
-0.33716	0.37795
-0.3347	0.38181
-0.34173	0.3892
-0.3347	0.38533
-0.34103	0.3892
-0.34208	0.38955
-0.3456	0.3899
-0.34138	0.38849
-0.33224	0.39764
-0.33892	0.38463
